Week,Week_Code,Market,Category,Net_Balance_1000JPY,Net_Balance_Billion_JPY
2025年1月3週,250103,TSE Prime,事業法人,192242885.0,192.242885
2025年1月3週,250103,TSE Standard,投資信託,-928375.0,-0.928375
2025年1月3週,250103,TSE Standard,証券会社,-769973.0,-0.769973
2025年1月3週,250103,TSE Standard,海外投資家,1979974.0,1.979974
2025年1月3週,250103,TSE Standard,個　人,80424.0,0.080424
2025年1月3週,250103,TSE Standard,法　人,-831878.0,-0.831878
2025年1月3週,250103,TSE Standard,事業法人,1617682.0,1.617682
2025年1月4週,250104,TSE Growth,海外投資家,-6150760.0,-6.15076
2025年1月4週,250104,TSE Growth,個　人,10280990.0,10.28099
2025年1月4週,250104,TSE Growth,法　人,-4880953.0,-4.880953
2025年1月4週,250104,TSE Growth,自己計,-245945.0,-0.245945
2025年1月4週,250104,Tokyo & Nagoya,事業法人,151611257.0,151.611257
2025年1月4週,250104,Tokyo & Nagoya,海外投資家,-313361726.0,-313.361726
2025年1月4週,250104,Tokyo & Nagoya,証券会社,3321259.0,3.321259
2025年1月4週,250104,Tokyo & Nagoya,個　人,142436226.0,142.436226
2025年1月4週,250104,Tokyo & Nagoya,法　人,-15793185.0,-15.793185
2025年1月4週,250104,Tokyo & Nagoya,自己計,139197400.0,139.1974
2025年1月4週,250104,TSE Growth,証券会社,70766.0,0.070766
2025年1月4週,250104,Tokyo & Nagoya,投資信託,-54858315.0,-54.858315
2025年1月4週,250104,TSE Growth,投資信託,2822517.0,2.822517
2025年1月4週,250104,TSE Growth,事業法人,88407.0,0.088407
2025年1月4週,250104,TSE Standard,自己計,7620159.0,7.620159
2025年1月4週,250104,TSE Prime,投資信託,-45675284.0,-45.675284
2025年1月4週,250104,TSE Prime,証券会社,3737558.0,3.737558
2025年1月4週,250104,TSE Prime,海外投資家,-335422021.0,-335.422021
2025年1月4週,250104,TSE Prime,個　人,116961992.0,116.961992
2025年1月4週,250104,TSE Prime,法　人,39404854.0,39.404854
2025年1月4週,250104,TSE Prime,自己計,131816052.0,131.816052
2025年1月4週,250104,TSE Prime,事業法人,151609232.0,151.609232
2025年1月4週,250104,TSE Standard,投資信託,-11991699.0,-11.991699
2025年1月4週,250104,TSE Standard,証券会社,-489943.0,-0.489943
2025年1月4週,250104,TSE Standard,海外投資家,28205692.0,28.205692
2025年1月4週,250104,TSE Standard,個　人,15222344.0,15.222344
2025年1月4週,250104,TSE Standard,法　人,-50327899.0,-50.327899
2025年1月4週,250104,TSE Standard,事業法人,-80174.0,-0.080174
2025年2月1週,250201,TSE Growth,海外投資家,6602205.0,6.602205
