"銘柄コード","銘柄名","直後基準日","直近制限措置","直近臨時措置","直近特別措置","申込日","市場区分","貸借区分","融資新規（株）","融資返済（株）","融資残高（株）","貸株新規（株）","貸株返済（株）","貸株残高（株）","差引残高（株）","貸借値段（円）","品貸料率（品貸日数分/円）","品貸日数","品貸料率（年率換算/％）","最高料率（品貸日数分/円）","最低料率（品貸日数分/円）","応札ランク","制限措置","臨時措置","特別措置","新株引受・権利入札"
"8058","三菱商事","20260331","","","","20260218","東証","貸借","","","","","","","","","","","","","","","","","",""
"8058","三菱商事","20260331","","","","20260217","東証","貸借","3800","328400","457300","400","60300","614800","-157500","4890.00","","1","","9.80","0.00","","","","",""
"8058","三菱商事","20260331","","","","20260216","東証","貸借","274700","1300","781900","150500","81000","674700","107200","4928.00","-","1","-","10.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260213","東証","貸借","37900","2500","508500","27800","34200","605200","-96700","5058.00","0.10","1","0.72","10.20","0.00","F","","","",""
"8058","三菱商事","20260331","","","","20260212","東証","貸借","30600","16900","473100","48000","11900","611600","-138500","5164.00","0.10","1","0.70","10.40","0.00","F","","","",""
"8058","三菱商事","20260331","","","","20260210","東証","貸借","3200","22900","459400","67800","17300","575500","-116100","5137.00","0.30","3","0.71","31.20","0.00","F","","","",""
"8058","三菱商事","20260331","","","","20260209","東証","貸借","46200","64900","479100","66600","13700","525000","-45900","4925.00","0.00","1","0.00","10.00","0.00","F","","","",""
"8058","三菱商事","20260331","","","","20260206","東証","貸借","1100","51600","497800","5900","123500","472100","25700","4723.00","-","2","-","19.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260205","東証","貸借","50100","3600","548300","149500","22200","589700","-41400","4625.00","0.00","1","0.00","9.40","0.00","F","","","",""
"8058","三菱商事","20260331","","","","20260204","東証","貸借","0","28600","501800","24700","26600","462400","39400","4337.00","-","3","-","26.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260203","東証","貸借","2500","6200","530400","106600","0","464300","66100","4209.00","-","1","-","8.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260202","東証","貸借","7600","5300","534100","22300","10300","357700","176400","4081.00","-","1","-","8.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260130","東証","貸借","600","8100","531800","31800","5700","345700","186100","4097.00","-","1","-","8.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260129","東証","貸借","12000","10100","539300","5000","55700","319600","219700","4057.00","-","1","-","8.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260128","東証","貸借","1000","112600","537400","93600","2500","370300","167100","4088.00","-","3","-","24.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260127","東証","貸借","14300","7400","649000","27500","700","279200","369800","4008.00","-","1","-","8.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260126","東証","貸借","57300","0","642100","0","25800","252400","389700","3910.00","-","1","-","8.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260123","東証","貸借","20800","500","584800","2000","19500","278200","306600","4031.00","-","1","-","8.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260122","東証","貸借","100","36300","564500","10000","6800","295700","268800","4082.00","-","1","-","8.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260121","東証","貸借","48400","27000","600700","5100","13100","292500","308200","4046.00","-","3","-","24.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260120","東証","貸借","12700","4200","579300","13800","8400","300500","278800","4090.00","-","1","-","8.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260119","東証","貸借","33700","5400","570800","18400","3900","295100","275700","4118.00","-","1","-","8.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260116","東証","貸借","41400","300","542500","1400","156400","280600","261900","4055.00","-","1","-","8.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260115","東証","貸借","47600","1300","501400","19800","74000","435600","65800","4138.00","-","1","-","8.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260114","東証","貸借","59700","2800","455100","76200","26100","489800","-34700","4055.00","0.00","3","0.00","24.60","0.00","F","","","",""
"8058","三菱商事","20260331","","","","20260113","東証","貸借","1100","12000","398200","173000","1300","439700","-41500","3979.00","0.00","1","0.00","8.00","0.00","F","","","",""
"8058","三菱商事","20260331","","","","20260109","東証","貸借","6400","251500","409100","85500","0","268000","141100","3782.00","-","1","-","7.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260108","東証","貸借","253500","1300","654200","3500","25700","182500","471700","3739.00","-","1","-","7.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260107","東証","貸借","3700","2400","402000","3700","87600","204700","197300","3770.00","-","4","-","30.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260106","東証","貸借","700","127500","400700","119100","16700","288600","112100","3787.00","-","1","-","7.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20260105","東証","貸借","3100","45900","527500","67500","2000","186200","341300","3653.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251230","東証","貸借","100","20200","570300","18100","3400","120700","449600","3586.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251229","東証","貸借","20000","5800","590400","7900","17900","106000","484400","3569.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251226","東証","貸借","13300","3000","576200","2700","9200","116000","460200","3529.00","-","6","-","43.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251225","東証","貸借","3100","7900","565900","8200","0","122500","443400","3523.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251224","東証","貸借","15700","4200","570700","100","13600","114300","456400","3512.00","-","3","-","21.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251223","東証","貸借","28700","3400","559200","4200","7900","127800","431400","3568.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251222","東証","貸借","1300","15300","533900","2600","9000","131500","402400","3605.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251219","東証","貸借","1100","700","547900","8500","30500","137900","410000","3617.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251218","東証","貸借","6600","12700","547500","27900","200","159900","387600","3628.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251217","東証","貸借","25800","27400","553600","4400","1600","132200","421400","3600.00","-","3","-","21.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251216","東証","貸借","94300","600","555200","100","62300","129400","425800","3617.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251215","東証","貸借","36900","500","461500","7500","1500","191600","269900","3780.00","-","1","-","7.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251212","東証","貸借","600","51800","425100","16900","16100","185600","239500","3763.00","-","1","-","7.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251211","東証","貸借","68900","200","476300","28600","12200","184800","291500","3721.00","-","1","-","7.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251210","東証","貸借","1900","4700","407600","1700","148100","168400","239200","3742.00","-","3","-","22.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251209","東証","貸借","3700","2100","410400","25300","7700","314800","95600","3810.00","-","1","-","7.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251208","東証","貸借","600","202400","408800","36000","800","297200","111600","3819.00","-","1","-","7.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251205","東証","貸借","207100","0","610600","2300","249300","262000","348600","3744.00","-","1","-","7.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251204","東証","貸借","1600","18900","403500","365400","200","509000","-105500","3838.00","0.00","1","0.00","7.80","0.00","F","","","",""
"8058","三菱商事","20260331","","","","20251203","東証","貸借","6400","2100","420800","22100","52400","143800","277000","3670.00","-","3","-","22.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251202","東証","貸借","0","19600","416500","65600","1100","174100","242400","3678.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251201","東証","貸借","5300","11600","436100","5300","18200","109600","326500","3666.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251128","東証","貸借","2700","3400","442400","9300","0","122500","319900","3702.00","-","1","-","7.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251127","東証","貸借","26600","29600","443100","100","38300","113200","329900","3674.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251126","東証","貸借","15800","66900","446100","71000","0","151400","294700","3684.00","-","3","-","22.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251125","東証","貸借","800","4300","497200","3100","38200","80400","416800","3638.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251121","東証","貸借","12800","2700","500700","41100","8500","115500","385200","3658.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251120","東証","貸借","500","20500","490600","6500","2700","82900","407700","3618.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251119","東証","貸借","20800","12400","510600","1400","2100","79100","431500","3591.00","-","4","-","28.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251118","東証","貸借","4400","7700","502200","1100","30400","79800","422400","3596.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251117","東証","貸借","8400","0","505500","4500","30600","109100","396400","3673.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251114","東証","貸借","800","5700","497100","25700","156400","135200","361900","3750.00","-","1","-","7.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251113","東証","貸借","1000","8200","502000","34100","19800","265900","236100","3731.00","-","1","-","7.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251112","東証","貸借","4700","39300","509200","72900","100","251600","257600","3704.00","-","3","-","22.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251111","東証","貸借","18300","6800","543800","1300","56000","178800","365000","3638.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251110","東証","貸借","21700","400","532300","85300","1200","233500","298800","3672.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251107","東証","貸借","5400","82300","511000","0","28000","149400","361600","3637.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251106","東証","貸借","87000","12800","587900","76500","100","177400","410500","3639.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251105","東証","貸借","8300","600","513700","0","33000","101000","412700","3572.00","-","3","-","21.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251104","東証","貸借","14700","2400","506000","6400","92100","134000","372000","3568.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251031","東証","貸借","1800","10200","493700","14500","65200","219700","274000","3712.00","-","1","-","7.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251030","東証","貸借","8900","28400","502100","87100","10000","270400","231700","3681.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251029","東証","貸借","9000","4300","521600","8900","21300","193300","328300","3659.00","-","4","-","29.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251028","東証","貸借","33100","2200","516900","0","83300","205700","311200","3679.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251027","東証","貸借","12700","20500","486000","59700","3100","289000","197000","3772.00","-","1","-","7.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251024","東証","貸借","8400","4400","493800","5400","33000","232400","261400","3682.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251023","東証","貸借","21000","8600","489800","47800","0","260000","229800","3697.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251022","東証","貸借","354600","67200","477400","40600","18400","212200","265200","3673.00","-","3","-","22.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251021","東証","貸借","10400","20800","190000","7700","18100","190000","0","3628.00","*****","1","*****","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251020","東証","貸借","85100","34100","200400","112600","1900","200400","0","3638.00","*****","1","*****","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251017","東証","貸借","3100","1000","149400","30800","900","89700","59700","3569.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251016","東証","貸借","25700","16300","147300","0","78100","59800","87500","3561.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251015","東証","貸借","15200","61000","137900","79000","6400","137900","0","3598.00","*****","3","*****","21.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251014","東証","貸借","27400","200","183700","13800","34500","65300","118400","3518.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251010","東証","貸借","19500","8200","156500","31800","4400","86000","70500","3577.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251009","東証","貸借","1200","2900","145200","200","34700","58600","86600","3603.00","-","1","-","7.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251008","東証","貸借","3500","17600","146900","26200","4400","93100","53800","3583.00","-","4","-","28.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251007","東証","貸借","300","38000","161000","15600","0","71300","89700","3555.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251006","東証","貸借","22600","41400","198700","4100","700","55700","143000","3526.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251003","東証","貸借","60400","6000","217500","8400","54800","52300","165200","3492.00","-","1","-","7.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251002","東証","貸借","7100","109400","163100","56500","76900","98700","64400","3469.00","-","1","-","7.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20251001","東証","貸借","7600","37300","265400","78200","21200","119100","146300","3465.00","-","3","-","21.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250930","東証","貸借","54600","11900","295100","5400","400","62100","233000","3531.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250929","東証","貸借","71700","2400","252400","15000","126600","57100","195300","3512.00","-","1","-","7.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250926","東証","貸借","2600","44100","183100","122800","700","168700","14400","3613.00","-","1","-","29.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250925","東証","貸借","1700","37200","224600","6400","9500","46600","178000","3563.00","-","1","-","14.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250924","東証","貸借","80800","6900","260100","7700","19400","49700","210400","3534.00","-","3","-","43.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250922","東証","貸借","36400","300","186200","3600","15100","61400","124800","3600.00","-","1","-","14.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250919","東証","貸借","16700","8500","150100","22200","3700","72900","77200","3571.00","-","1","-","14.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250918","東証","貸借","11700","6700","141900","6900","0","54400","87500","3505.00","-","2","-","28.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250917","東証","貸借","0","11500","136900","7200","2700","47500","89400","3460.00","-","3","-","21.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250916","東証","貸借","200","20400","148400","3100","800","43000","105400","3472.00","-","1","-","7.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250912","東証","貸借","1500","6500","168600","1000","100900","40700","127900","3441.00","-","1","-","7.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250911","東証","貸借","1400","3900","173600","1600","300","140600","33000","3441.00","-","1","-","7.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250910","東証","貸借","38600","900","176100","3900","600","139300","36800","3453.00","-","4","-","28.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250909","東証","貸借","0","37600","138400","0","7200","136000","2400","3462.00","-","1","-","7.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250908","東証","貸借","2000","39900","176000","2600","9400","143200","32800","3497.00","-","1","-","7.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250905","東証","貸借","28600","21700","213900","24100","0","150000","63900","3445.00","-","1","-","7.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250904","東証","貸借","3700","1300","207000","5600","3000","125900","81100","3385.00","-","1","-","6.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250903","東証","貸借","23900","500","204600","0","26000","123300","81300","3359.00","-","3","-","20.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250902","東証","貸借","11900","53000","181200","25400","700","149300","31900","3453.00","-","1","-","7.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250901","東証","貸借","13000","4100","222300","900","23400","124600","97700","3353.00","-","1","-","6.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250829","東証","貸借","1900","9300","213400","6400","4100","147100","66300","3354.00","-","1","-","6.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250828","東証","貸借","93800","4000","220800","37900","800","144800","76000","3311.00","-","1","-","6.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250827","東証","貸借","11700","51800","131000","3500","8700","107700","23300","3251.00","-","3","-","19.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250826","東証","貸借","6800","3100","171100","0","21800","112900","58200","3263.00","-","1","-","6.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250825","東証","貸借","10700","3900","167400","11300","8100","134700","32700","3290.00","-","1","-","6.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250822","東証","貸借","14000","2800","160600","30800","0","131500","29100","3233.00","-","1","-","6.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250821","東証","貸借","9600","3900","149400","8200","0","100700","48700","3215.00","-","1","-","6.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250820","東証","貸借","800","17700","143700","0","25100","92500","51200","3200.00","-","3","-","19.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250819","東証","貸借","1800","12200","160600","1500","5600","117600","43000","3205.00","-","1","-","6.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250818","東証","貸借","7100","6100","171000","22700","1400","121700","49300","3203.00","-","1","-","6.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250815","東証","貸借","7900","23800","170000","11100","100","100400","69600","3167.00","-","1","-","6.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250814","東証","貸借","37500","8300","185900","12900","20900","89400","96500","3110.00","-","1","-","6.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250813","東証","貸借","8600","1600","156700","300","31100","97400","59300","3179.00","-","3","-","19.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250812","東証","貸借","8200","46200","149700","21800","0","128200","21500","3173.00","-","1","-","6.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250808","東証","貸借","6400","24200","187700","41000","0","106400","81300","3126.00","-","1","-","6.40","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250807","東証","貸借","12700","4800","205500","3200","40600","65400","140100","3082.00","-","1","-","6.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250806","東証","貸借","2700","59400","197600","71600","4200","102800","94800","3095.00","-","4","-","24.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250805","東証","貸借","4800","19600","254300","12000","31000","35400","218900","3002.00","-","1","-","6.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250804","東証","貸借","15400","4100","269100","1100","15100","54400","214700","2986.50","-","1","-","6.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250801","東証","貸借","0","221200","257800","39100","0","68400","189400","3028.00","-","1","-","6.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250731","東証","貸借","14100","11700","479000","0","32800","29300","449700","2988.00","-","1","-","6.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250730","東証","貸借","5200","11000","476600","10200","100","62100","414500","2966.00","-","3","-","18.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250729","東証","貸借","23700","3400","482400","30400","1500","52000","430400","2944.00","-","1","-","6.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250728","東証","貸借","30800","5000","462100","0","24700","23100","439000","2994.50","-","1","-","6.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250725","東証","貸借","0","5100","436300","0","69400","47800","388500","3035.00","-","1","-","6.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250724","東証","貸借","51000","56900","441400","49300","100","117200","324200","3056.00","-","1","-","6.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250723","東証","貸借","208200","37900","447300","34200","0","68000","379300","3018.00","-","3","-","18.60","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250722","東証","貸借","100","25200","277000","9300","700","33800","243200","2914.00","-","1","-","6.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250718","東証","貸借","0","9600","302100","0","21700","25200","276900","2876.00","-","1","-","5.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250717","東証","貸借","600","7000","311700","20700","0","46900","264800","2886.00","-","1","-","5.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250716","東証","貸借","13300","10800","318100","1000","500","26200","291900","2860.00","-","4","-","23.20","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250715","東証","貸借","24200","4000","315600","0","600","25700","289900","2862.50","-","1","-","5.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250714","東証","貸借","200","18100","295400","100","24600","26300","269100","2907.00","-","1","-","6.00","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250711","東証","貸借","31000","700","313300","24700","0","50800","262500","2895.00","-","1","-","5.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250710","東証","貸借","1600","12900","283000","400","0","26100","256900","2873.00","-","1","-","5.80","0.00","-","","","",""
"8058","三菱商事","20260331","","","","20250709","東証","貸借","23200","300","294300","0","9300","25700","268600","2873.50","-","3","-","17.40","0.00","-","","","",""
