"銘柄コード","銘柄名","直後基準日","直近制限措置","直近臨時措置","直近特別措置","申込日","市場区分","貸借区分","融資新規（株）","融資返済（株）","融資残高（株）","貸株新規（株）","貸株返済（株）","貸株残高（株）","差引残高（株）","貸借値段（円）","品貸料率（品貸日数分/円）","品貸日数","品貸料率（年率換算/％）","最高料率（品貸日数分/円）","最低料率（品貸日数分/円）","応札ランク","制限措置","臨時措置","特別措置","新株引受・権利入札"
"8316","三井住友フィナンシャルグループ","20260331","","","","20260218","東証","貸借","","","","","","","","","","","","","","","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260217","東証","貸借","107500","800","1525600","500","20100","359200","1166400","5716.00","","1","","11.60","0.00","","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260216","東証","貸借","97400","3900","1418900","600","26300","378800","1040100","5856.00","-","1","-","11.80","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260213","東証","貸借","62600","4300","1325400","2600","20800","404500","920900","6062.00","-","1","-","12.20","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260212","東証","貸借","4200","115900","1267100","21600","12100","422700","844400","6204.00","-","1","-","12.60","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260210","東証","貸借","18200","20500","1378800","19500","9100","413200","965600","6134.00","-","3","-","37.20","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260209","東証","貸借","11800","111200","1381100","10400","27100","402800","978300","5984.00","-","1","-","12.00","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260206","東証","貸借","900","115800","1480500","99500","5400","419500","1061000","5910.00","-","2","-","24.00","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260205","東証","貸借","30200","49600","1595400","11000","100","325400","1270000","5653.00","-","1","-","11.40","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260204","東証","貸借","31200","51700","1614800","11400","30800","314500","1300300","5630.00","-","3","-","34.20","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260203","東証","貸借","0","197500","1635300","93800","500","333900","1301400","5546.00","-","1","-","11.20","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260202","東証","貸借","59400","34800","1832800","600","48300","240600","1592200","5286.00","-","1","-","10.60","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260130","東証","貸借","41500","7800","1808200","10900","5200","288300","1519900","5472.00","-","1","-","11.00","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260129","東証","貸借","7700","35900","1774500","22700","200","282600","1491900","5421.00","-","1","-","11.00","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260128","東証","貸借","111400","0","1802700","200","29500","260100","1542600","5346.00","-","3","-","32.40","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260127","東証","貸借","25500","8400","1691300","15100","2900","289400","1401900","5430.00","-","1","-","11.00","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260126","東証","貸借","104500","0","1674200","100","43600","277200","1397000","5387.00","-","1","-","10.80","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260123","東証","貸借","20500","208000","1569700","35900","1200","320700","1249000","5541.00","-","1","-","11.20","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260122","東証","貸借","210700","31000","1757200","12600","0","286000","1471200","5408.00","-","1","-","11.00","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260121","東証","貸借","93500","300","1577500","0","29200","273400","1304100","5395.00","-","3","-","32.40","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260120","東証","貸借","38700","7700","1484300","19300","4500","302600","1181700","5594.00","-","1","-","11.20","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260119","東証","貸借","9100","5700","1453300","9200","0","287800","1165500","5671.00","-","1","-","11.40","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260116","東証","貸借","28600","1900","1449900","4300","41800","278600","1171300","5626.00","-","1","-","11.40","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260115","東証","貸借","45700","9000","1423200","26100","5400","316100","1107100","5675.00","-","1","-","11.40","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260114","東証","貸借","400","93800","1386500","46800","200","295400","1091100","5555.00","-","3","-","33.60","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260113","東証","貸借","105400","158300","1479900","23700","3900","248800","1231100","5415.00","-","1","-","11.00","0.00","-","","","",""
"8316","三井住友フィナンシャルグループ","20260331","","","","20260109","東証","貸借","101400","80200","1532800","33900","0","229000","1303800","5253.00","-","1","-","10.60","0.00","-","","","",""
