"銘柄コード","銘柄名","直後基準日","直近制限措置","直近臨時措置","直近特別措置","申込日","市場区分","貸借区分","融資新規（株）","融資返済（株）","融資残高（株）","貸株新規（株）","貸株返済（株）","貸株残高（株）","差引残高（株）","貸借値段（円）","品貸料率（品貸日数分/円）","品貸日数","品貸料率（年率換算/％）","最高料率（品貸日数分/円）","最低料率（品貸日数分/円）","応札ランク","制限措置","臨時措置","特別措置","新株引受・権利入札"
"6723","ルネサスエレクトロニクス","20260331","","","","20260224","東証","貸借","","","","","","","","","","","","","","","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260220","東証","貸借","106800","21400","198900","900","33900","80500","118400","2908.00","","1","","6.00","0.00","","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260219","東証","貸借","8800","3800","113500","33200","200","113500","0","2998.50","*****","1","*****","6.00","0.00","-","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260218","東証","貸借","5000","53700","108500","600","23400","80500","28000","2961.00","-","4","-","24.00","0.00","-","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260217","東証","貸借","1500","4100","157200","20900","1800","103300","53900","2984.50","-","1","-","6.00","0.00","-","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260216","東証","貸借","11500","103500","159800","2000","31000","84200","75600","2912.00","-","1","-","6.00","0.00","-","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260213","東証","貸借","102400","25800","251800","1300","63300","113200","138600","2940.00","-","1","-","6.00","0.00","-","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260212","東証","貸借","11600","12200","175200","10300","10900","175200","0","3015.00","*****","1","*****","6.20","0.00","-","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260210","東証","貸借","62500","109200","175800","4700","51400","175800","0","2982.50","*****","3","*****","18.00","0.00","-","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260209","東証","貸借","50100","9800","222500","55500","15200","222500","0","3103.00","*****","1","*****","6.40","0.00","-","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260206","東証","貸借","18700","33300","182200","29000","43600","182200","0","2957.50","*****","2","*****","12.00","0.00","-","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260205","東証","貸借","131400","165000","196800","56400","400","196800","0","2766.50","*****","1","*****","5.60","0.00","-","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260204","東証","貸借","172700","3300","230400","5000","91000","140800","89600","2574.00","-","3","-","15.60","0.00","-","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260203","東証","貸借","3400","214700","61000","59400","43900","226800","-165800","2592.00","0.05","1","0.70","5.20","0.00","F","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260202","東証","貸借","168100","8900","272300","13000","71000","211300","61000","2453.50","-","1","-","5.00","0.00","-","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260130","東証","貸借","2700","73200","113100","87800","35100","269300","-156200","2576.00","0.05","1","0.70","5.20","0.00","F","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260129","東証","貸借","121600","12500","183600","24100","89600","216600","-33000","2624.50","0.00","1","0.00","5.40","0.00","F","","","",""
"6723","ルネサスエレクトロニクス","20260331","","","","20260128","東証","貸借","10500","86600","74500","154400","8400","282100","-207600","2589.00","0.15","3","0.70","15.60","0.00","F","","","",""
